marca,modelo,cilindrada,kms,precio,año
Seat,Ibiza,1400,59979,7728,2021
Seat,Ibiza,1400,29707,16691,2011
VW,Polo,1600,84461,6638,2010
Opel,Corsa,1400,98292,11695,2018
VW,Golf,1600,93720,10642,2022
Seat,Arona,1600,90083,14982,2021
VW,Polo,2000,57076,14271,2014
Opel,Corsa,2000,42932,18689,2014
Seat,Leon,2000,70544,7874,2013
Seat,Arona,1800,52457,8003,2013
Opel,Corsa,1800,75277,7230,2022
Opel,Corsa,1800,63751,17087,2018
Seat,Ibiza,1600,24698,11870,2022
Opel,Astra,1800,47881,6114,2013
Opel,Corsa,1800,77320,6239,2022
