P1;P2;P3;P4;P5;P6;T_Final
172;254;356;385;514;636;703
163;253;371;408;556;674;738
188;279;389;419;580;728;803
195;288;397;425;579;729;800
195;296;415;453;619;766;863
238;377;526;569;827;1035;1137
235;353;515;554;755;923;1012
218;341;473;511;735;941;1035
155;228;321;347;468;591;658
239;381;524;564;794;1008;1117
184;277;382;409;557;687;752
187;274;381;409;541;675;753
216;338;491;534;737;936;1034
207;312;435;470;653;821;911
231;367;519;564;825;1047;1195
154;236;324;351;479;596;651
243;404;568;616;865;1106;1214
204;317;456;496;680;859;942
249;386;549;589;819;1035;1168
197;297;419;452;663;871;953
184;289;394;423;563;699;769
165;251;349;375;519;686;758
198;310;434;471;674;846;956
223;355;505;544;773;992;1109
168;257;366;395;551;686;751
205;303;414;444;584;716;788
238;377;526;571;827;1035;1137
189;291;413;446;647;746;803
186;269;368;395;530;667;731
208;314;449;482;662;825;911
224;351;492;534;774;994;1094
208;334;462;500;711;902;1009
185;290;411;445;631;815;910
216;336;465;497;650;801;877
169;261;375;404;560;693;761
218;332;459;494;669;839;924
151;226;324;348;472;594;653
178;270;374;401;559;673;724
229;355;500;538;735;899;988
149;224;323;351;484;598;650
185;279;386;416;567;697;757
161;235;339;371;503;613;673
211;317;443;476;650;801;877
173;258;362;392;548;684;754
180;272;385;415;567;705;773
141;211;300;324;441;548;603
186;279;384;411;561;696;765
186;280;391;425;638;816;909
187;282;388;418;576;716;781
201;297;414;445;590;734;802
175;264;382;412;581;739;813
164;246;345;373;505;632;695
164;246;345;372;505;619;676
255;415;571;617;889;1167;1290
202;314;435;469;653;815;897
188;290;417;452;647;853;951
157;239;336;364;501;631;698
204;316;452;489;680;842;923
177;271;382;413;589;768;862
176;257;354;379;509;630;693
243;364;501;545;810;1036;1132
177;271;382;410;561;696;773
255;397;569;615;858;1088;1196
261;401;578;635;852;1092;1219
217;335;482;529;769;986;1100
251;397;580;630;889;1108;1221
176;276;389;418;582;713;777
203;306;422;452;616;773;854
224;345;487;527;734;926;1011
182;276;391;421;581;726;797
216;327;456;493;679;860;947
168;253;350;379;517;683;759
204;305;428;464;656;847;933
221;332;449;480;650;803;889
171;260;363;395;557;709;770
198;297;400;430;587;715;778
204;311;440;476;646;795;866
177;260;365;395;529;662;729
200;308;442;478;666;824;909
165;253;350;379;516;643;702
147;215;306;332;449;580;653
192;301;422;457;645;803;879
176;274;387;417;596;752;821
211;320;449;482;678;839;920
207;312;437;473;656;815;896
204;316;449;480;680;834;922
212;322;457;494;718;894;966
255;415;573;617;889;1167;1290
241;402;584;628;878;1121;1265
175;275;397;430;616;774;859
165;249;358;386;513;645;709
175;257;350;375;491;596;653
196;313;442;480;684;884;983
161;241;337;364;498;631;699
190;288;412;444;620;768;844
193;284;389;418;565;694;760
210;312;431;464;642;778;850
166;248;352;378;511;659;727
217;323;442;473;648;806;878
245;377;527;570;804;1025;1143
238;371;518;563;794;1008;1117
164;248;345;373;529;651;718
180;292;409;441;625;776;848
225;355;487;524;740;927;1023
184;285;395;422;557;693;757
135;199;290;314;415;519;574
176;264;376;406;561;709;785
167;247;350;375;507;633;706
168;261;368;396;540;683;748
191;286;396;426;566;730;795
191;287;395;424;570;716;790
210;323;442;472;649;792;874
196;296;419;455;671;831;909
219;329;479;523;714;892;988
258;391;541;582;766;923;1012
208;332;467;507;713;913;1000
159;243;339;369;511;645;709
216;355;519;565;827;1035;1137
201;308;440;473;648;775;839
196;324;431;462;632;818;897
288;453;643;703;1001;1278;1398
226;330;454;486;659;793;865
141;203;289;312;418;517;571
219;349;497;532;720;919;1019
171;257;356;383;509;622;685
210;323;442;472;649;792;874
203;313;445;481;680;844;930
221;331;467;505;696;884;984
150;225;321;346;482;612;688
157;233;320;345;456;562;618
192;288;388;416;545;680;743
178;267;383;413;579;717;796
238;377;526;571;827;1034;1137
171;262;378;406;565;763;920
161;241;339;371;526;654;727
223;340;477;521;729;931;1034
151;229;321;345;467;593;649
159;233;326;351;465;581;644
189;290;412;445;615;756;831
196;305;437;474;670;831;909
192;288;401;433;579;701;768
196;301;419;449;616;773;854
202;314;435;469;653;815;897
185;273;384;415;562;705;778
236;362;509;550;778;986;1091
235;355;514;555;755;923;1012
235;348;472;508;706;882;964
176;274;386;417;588;723;789
180;270;382;412;559;691;754
198;297;401;430;587;715;778
255;389;541;582;779;973;1130
167;249;353;380;513;645;708
181;280;398;430;610;775;851
228;358;521;565;781;1027;1139
241;379;533;576;810;1038;1147
222;350;495;529;739;927;1017
184;277;386;414;561;709;775
